PERSON ID,Source,Label,Target,OTHER NAMES,ETHNICITY/NATIONALITY,PHYSICAL DESCRIPTORS,LOCATION(S),BIOGRAPHICAL INFORMATION
P10,HOUSE FRANKE,FRIEND OF,VINE,,?,,PARADISE ESTATE,"House Franke was an enslaved domestic laborer who lived on Paradise estate. She was a very close friend of Phibbah [the housekeeper of Egypt estate], Phibbah's sister Nancy, Phibbah's daughter Accubah [also known as Coobah and later, Jenny Young], an enslaved domestic laborer and healer named Vine, and an enslaved Egypt fieldwoman named Egypt Lucy. Together, the six women pooled the money and resources they earned through the selling of goods they raised from their provison grounds, their raising of livestock, and from sewing work they were contracted to perform for whites. They intended the funds to be used to purchase at least one of each other's freedom.

House Franke had a husband named Paradise Jack who (presumably) lived with her at Paradise. 

House Franke was a very frequent visitor to Egypt, and to Breadnut Island Pen to visit with Phibbah. When Phibbah gave birth to John in 1760, House Franke came and stayed at Egypt for several days to assist at her bedside. When Phibbah herself fell ill, House Franke came and stayed with her again to nurse her back to health. Like Egypt Lucy, House Franke also mantained a significant presence in the lives of Phbbah's children (who did not live with her for the majority of the time).

House Franke was a relatively prosperous businessowman and in  1769, she along with Phibbah, and Egypt Lucy gave Thistlewood a 27 pound loan to help him in his transition from Egypt's overseer to an independeny penkeeper of a property called Breadnut Island Pen. He would repay the loan about a year later. House Franke made a second loan to Thistlewood in December of 1770; he repaid it in September of 1771."
P10,HOUSE FRANKE,BUSINESS PARTNER OF,PHIBBAH,,?,,PARADISE ESTATE,"House Franke was an enslaved domestic laborer who lived on Paradise estate. She was a very close friend of Phibbah [the housekeeper of Egypt estate], Phibbah's sister Nancy, Phibbah's daughter Accubah [also known as Coobah and later, Jenny Young], an enslaved domestic laborer and healer named Vine, and an enslaved Egypt fieldwoman named Egypt Lucy. Together, the six women pooled the money and resources they earned through the selling of goods they raised from their provison grounds, their raising of livestock, and from sewing work they were contracted to perform for whites. They intended the funds to be used to purchase at least one of each other's freedom.

House Franke had a husband named Paradise Jack who (presumably) lived with her at Paradise. 

House Franke was a very frequent visitor to Egypt, and to Breadnut Island Pen to visit with Phibbah. When Phibbah gave birth to John in 1760, House Franke came and stayed at Egypt for several days to assist at her bedside. When Phibbah herself fell ill, House Franke came and stayed with her again to nurse her back to health. Like Egypt Lucy, House Franke also mantained a significant presence in the lives of Phbbah's children (who did not live with her for the majority of the time).

House Franke was a relatively prosperous businessowman and in  1769, she along with Phibbah, and Egypt Lucy gave Thistlewood a 27 pound loan to help him in his transition from Egypt's overseer to an independeny penkeeper of a property called Breadnut Island Pen. He would repay the loan about a year later. House Franke made a second loan to Thistlewood in December of 1770; he repaid it in September of 1771."
P10,HOUSE FRANKE,BUSINESS PARTNER OF,VINE,,?,,PARADISE ESTATE,"House Franke was an enslaved domestic laborer who lived on Paradise estate. She was a very close friend of Phibbah [the housekeeper of Egypt estate], Phibbah's sister Nancy, Phibbah's daughter Accubah [also known as Coobah and later, Jenny Young], an enslaved domestic laborer and healer named Vine, and an enslaved Egypt fieldwoman named Egypt Lucy. Together, the six women pooled the money and resources they earned through the selling of goods they raised from their provison grounds, their raising of livestock, and from sewing work they were contracted to perform for whites. They intended the funds to be used to purchase at least one of each other's freedom.

House Franke had a husband named Paradise Jack who (presumably) lived with her at Paradise. 

House Franke was a very frequent visitor to Egypt, and to Breadnut Island Pen to visit with Phibbah. When Phibbah gave birth to John in 1760, House Franke came and stayed at Egypt for several days to assist at her bedside. When Phibbah herself fell ill, House Franke came and stayed with her again to nurse her back to health. Like Egypt Lucy, House Franke also mantained a significant presence in the lives of Phbbah's children (who did not live with her for the majority of the time).

House Franke was a relatively prosperous businessowman and in  1769, she along with Phibbah, and Egypt Lucy gave Thistlewood a 27 pound loan to help him in his transition from Egypt's overseer to an independeny penkeeper of a property called Breadnut Island Pen. He would repay the loan about a year later. House Franke made a second loan to Thistlewood in December of 1770; he repaid it in September of 1771."
P10,HOUSE FRANKE,BUSINESS PARTNER OF,NANCY,,?,,PARADISE ESTATE,"House Franke was an enslaved domestic laborer who lived on Paradise estate. She was a very close friend of Phibbah [the housekeeper of Egypt estate], Phibbah's sister Nancy, Phibbah's daughter Accubah [also known as Coobah and later, Jenny Young], an enslaved domestic laborer and healer named Vine, and an enslaved Egypt fieldwoman named Egypt Lucy. Together, the six women pooled the money and resources they earned through the selling of goods they raised from their provison grounds, their raising of livestock, and from sewing work they were contracted to perform for whites. They intended the funds to be used to purchase at least one of each other's freedom.

House Franke had a husband named Paradise Jack who (presumably) lived with her at Paradise. 

House Franke was a very frequent visitor to Egypt, and to Breadnut Island Pen to visit with Phibbah. When Phibbah gave birth to John in 1760, House Franke came and stayed at Egypt for several days to assist at her bedside. When Phibbah herself fell ill, House Franke came and stayed with her again to nurse her back to health. Like Egypt Lucy, House Franke also mantained a significant presence in the lives of Phbbah's children (who did not live with her for the majority of the time).

House Franke was a relatively prosperous businessowman and in  1769, she along with Phibbah, and Egypt Lucy gave Thistlewood a 27 pound loan to help him in his transition from Egypt's overseer to an independeny penkeeper of a property called Breadnut Island Pen. He would repay the loan about a year later. House Franke made a second loan to Thistlewood in December of 1770; he repaid it in September of 1771."
P10,HOUSE FRANKE,BUSINESS PARTNER OF,EGYPT LUCY,,?,,PARADISE ESTATE,"House Franke was an enslaved domestic laborer who lived on Paradise estate. She was a very close friend of Phibbah [the housekeeper of Egypt estate], Phibbah's sister Nancy, Phibbah's daughter Accubah [also known as Coobah and later, Jenny Young], an enslaved domestic laborer and healer named Vine, and an enslaved Egypt fieldwoman named Egypt Lucy. Together, the six women pooled the money and resources they earned through the selling of goods they raised from their provison grounds, their raising of livestock, and from sewing work they were contracted to perform for whites. They intended the funds to be used to purchase at least one of each other's freedom.

House Franke had a husband named Paradise Jack who (presumably) lived with her at Paradise. 

House Franke was a very frequent visitor to Egypt, and to Breadnut Island Pen to visit with Phibbah. When Phibbah gave birth to John in 1760, House Franke came and stayed at Egypt for several days to assist at her bedside. When Phibbah herself fell ill, House Franke came and stayed with her again to nurse her back to health. Like Egypt Lucy, House Franke also mantained a significant presence in the lives of Phbbah's children (who did not live with her for the majority of the time).

House Franke was a relatively prosperous businessowman and in  1769, she along with Phibbah, and Egypt Lucy gave Thistlewood a 27 pound loan to help him in his transition from Egypt's overseer to an independeny penkeeper of a property called Breadnut Island Pen. He would repay the loan about a year later. House Franke made a second loan to Thistlewood in December of 1770; he repaid it in September of 1771."
P10,HOUSE FRANKE,NURSE OF/FOR,PHIBBAH,,?,,PARADISE ESTATE,"House Franke was an enslaved domestic laborer who lived on Paradise estate. She was a very close friend of Phibbah [the housekeeper of Egypt estate], Phibbah's sister Nancy, Phibbah's daughter Accubah [also known as Coobah and later, Jenny Young], an enslaved domestic laborer and healer named Vine, and an enslaved Egypt fieldwoman named Egypt Lucy. Together, the six women pooled the money and resources they earned through the selling of goods they raised from their provison grounds, their raising of livestock, and from sewing work they were contracted to perform for whites. They intended the funds to be used to purchase at least one of each other's freedom.

House Franke had a husband named Paradise Jack who (presumably) lived with her at Paradise. 

House Franke was a very frequent visitor to Egypt, and to Breadnut Island Pen to visit with Phibbah. When Phibbah gave birth to John in 1760, House Franke came and stayed at Egypt for several days to assist at her bedside. When Phibbah herself fell ill, House Franke came and stayed with her again to nurse her back to health. Like Egypt Lucy, House Franke also mantained a significant presence in the lives of Phbbah's children (who did not live with her for the majority of the time).

House Franke was a relatively prosperous businessowman and in  1769, she along with Phibbah, and Egypt Lucy gave Thistlewood a 27 pound loan to help him in his transition from Egypt's overseer to an independeny penkeeper of a property called Breadnut Island Pen. He would repay the loan about a year later. House Franke made a second loan to Thistlewood in December of 1770; he repaid it in September of 1771."
P10,HOUSE FRANKE,DOMESTIC PARTNER OF,PARADISE JACK,,?,,PARADISE ESTATE,"House Franke was an enslaved domestic laborer who lived on Paradise estate. She was a very close friend of Phibbah [the housekeeper of Egypt estate], Phibbah's sister Nancy, Phibbah's daughter Accubah [also known as Coobah and later, Jenny Young], an enslaved domestic laborer and healer named Vine, and an enslaved Egypt fieldwoman named Egypt Lucy. Together, the six women pooled the money and resources they earned through the selling of goods they raised from their provison grounds, their raising of livestock, and from sewing work they were contracted to perform for whites. They intended the funds to be used to purchase at least one of each other's freedom.

House Franke had a husband named Paradise Jack who (presumably) lived with her at Paradise. 

House Franke was a very frequent visitor to Egypt, and to Breadnut Island Pen to visit with Phibbah. When Phibbah gave birth to John in 1760, House Franke came and stayed at Egypt for several days to assist at her bedside. When Phibbah herself fell ill, House Franke came and stayed with her again to nurse her back to health. Like Egypt Lucy, House Franke also mantained a significant presence in the lives of Phbbah's children (who did not live with her for the majority of the time).

House Franke was a relatively prosperous businessowman and in  1769, she along with Phibbah, and Egypt Lucy gave Thistlewood a 27 pound loan to help him in his transition from Egypt's overseer to an independeny penkeeper of a property called Breadnut Island Pen. He would repay the loan about a year later. House Franke made a second loan to Thistlewood in December of 1770; he repaid it in September of 1771."
P105,DIDO,MOTHER OF,JOAN,,?,,,
P106,SARAH,MOTHER OF,SARAH'S CHILD/SON,,?,,,
P106,SARAH,MOTHER OF,SARAH'S CUBBAH,,?,,,
P11,OLD DAPHNE,MIDWIFE TO,PHIBBAH,,?,,SALT RIVER ESTATE,"Old Daphne was an enslaved 'grannie' midwife who resided on Salt River Estate. She was called to preside over at least fivw different childbirths over the course of about a decade, including Phibbah, the housekeeper of Egypt estate and three enslaved fieldwomen named Jenny, Anjaw, Mountain Lucy and Sarah."
P11,OLD DAPHNE,MIDWIFE TO,JENNY,,?,,SALT RIVER ESTATE,"Old Daphne was an enslaved 'grannie' midwife who resided on Salt River Estate. She was called to preside over at least fivw different childbirths over the course of about a decade, including Phibbah, the housekeeper of Egypt estate and three enslaved fieldwomen named Jenny, Anjaw, Mountain Lucy and Sarah."
P11,OLD DAPHNE,MIDWIFE TO,ANJAW,,?,,SALT RIVER ESTATE,"Old Daphne was an enslaved 'grannie' midwife who resided on Salt River Estate. She was called to preside over at least fivw different childbirths over the course of about a decade, including Phibbah, the housekeeper of Egypt estate and three enslaved fieldwomen named Jenny, Anjaw, Mountain Lucy and Sarah."
P11,OLD DAPHNE,MIDWIFE TO,MOUNTAIN LUCY,,?,,SALT RIVER ESTATE,"Old Daphne was an enslaved 'grannie' midwife who resided on Salt River Estate. She was called to preside over at least fivw different childbirths over the course of about a decade, including Phibbah, the housekeeper of Egypt estate and three enslaved fieldwomen named Jenny, Anjaw, Mountain Lucy and Sarah."
P11,OLD DAPHNE,MIDWIFE TO,SARAH,,?,,SALT RIVER ESTATE,"Old Daphne was an enslaved 'grannie' midwife who resided on Salt River Estate. She was called to preside over at least fivw different childbirths over the course of about a decade, including Phibbah, the housekeeper of Egypt estate and three enslaved fieldwomen named Jenny, Anjaw, Mountain Lucy and Sarah."
P12,VINE,NURSE OF/FOR,PHIBBAH,,MOST LIKELY AT LEAST HALF AFRICAN,,CABARITTA ESTATE,"Vine was a full blooded African or a first generation Afro-Creole domestic laborer who lived on a neighboring plantation called Cabaritta Estate owned by one of Thistlewood's friends, Samuel Say. She was the daughter of at least one enslaved African parent, a man named Old Pompey who belonged to another of Thistlewood's friends named Jeremiah Meyer and lived on his estate of Meylersfield. When Vine's mother died in 1764, the enslaved community held a ""play"" (a communal funeral) in her honor.

Vine was involved in various sexual/domestic partnerships over the course of several years, including one with a white man named MacArthur who was employed on the Roaring River estate, and another with a driver named Sam who lived on the property of a Mrs. Sarah Bennett (who would lster sell thistlewood Breadnut Island Pen).

The diary never describes Vine as having any children of her own. However, she was a regular presence in the lives of her friends' children, especially that of her friend Phibbah [the housekeeper of Egypt Estate) and Phibbah's children John and Accubah, and Egypt Lucy's child Little Quashe.

Vine was a very close friend of Phibbah, Phibbah's sister Nancy, an enslaved domestic woman from Paradise Estate named House Franke, and an enslaved field woman from Egypt Estate named Egypt Lucy. Vine, Phibbah and John were relatively privileged as domestic laborers, given leave by their masters to attend various social events througout the parish such as horse races. In a significant departure from most other enslaved people in Jamica who were forced to walk everywhere as their chief means of transportation, Vine owned her own horse named Powder Tail.

Vine was a skilled healer and regularly attended to the sickbeds of enslaved men, women and children when they were ill--especially when they were friends or her friends' children.

Vine was a skilled teller of Anansi spider stories, and frequently came to Egypt in the evenings to tell them to enslaved people and whites alike, sometimes alongside other enslaved Africans like Abba."
